hood_id,name
132,Malvern 
76,Bay Street Corridor 
1,West Humber-Clairville 
47,Don Valley Village 
90,Junction Area 
136,West Hill 
110,Keelesdale-Eglinton West 
35,Westminster-Branson 
120,Clairlea-Birchmount 
31,Yorkdale-Glen Park 
128,Agincourt South-Malvern West 
77,Waterfront Communities-The Island 
74,North St.James Town 
86,Roncesvalles 
93,Dovercourt-Wallace Emerson-Junction 
27,York University Heights 
108,Briar Hill-Belgravia 
14,Islington-City Centre West 
118,Tam O'Shanter-Sullivan 
24,Black Creek 
78,Kensington-Chinatown 
79,University 
39,Bedford Park-Nortown 
119,Wexford/Maryvale 
98,Rosedale-Moore Park 
95,Annex 
137,Woburn 
25,Glenfield-Jane Heights 
50,Newtonbrook East 
72,Regent Park 
69,Blake-Jones 
62,East End-Danforth 
75,Church-Yonge Corridor 
80,Palmerston-Little Italy 
103,Lawrence Park South 
26,Downsview-Roding-CFB 
45,Parkwoods-Donalda 
7,Willowridge-Martingrove-Richview 
139,Scarborough Village 
124,Kennedy Park 
28,Rustic 
100,Yonge-Eglinton 
56,Leaside-Bennington 
46,Pleasant View 
55,Thorncliffe Park 
122,Birchcliffe-Cliffside 
61,Taylor-Massey 
126,Dorset Park 
73,Moss Park 
112,Beechborough-Greenbrook 
97,Yonge-St.Clair 
16,Stonegate-Queensway 
127,Bendale 
44,Flemingdon Park 
6,Kingsview Village-The Westway 
68,North Riverdale 
30,Brookhaven-Amesbury 
65,Greenwood-Coxwell 
9,Edenbridge-Humber Valley 
121,Oakridge 
134,Highland Creek 
113,Weston 
11,Eringate-Centennial-West Deane 
104,Mount Pleasant West 
109,Caledonia-Fairbank 
41,Bridle Path-Sunnybrook-York Mills 
129,Agincourt North 
138,Eglinton East 
36,Newtonbrook West 
131,Rouge 
18,New Toronto 
2,Mount Olive-Silverstone-Jamestown 
52,Bayview Village 
70,South Riverdale 
84,Little Portugal 
13,Etobicoke West Mall 
117,L'Amoreaux 
111,Rockcliffe-Smythe 
53,Henry Farm 
10,Princess-Rosethorn 
57,Broadview North 
116,Steeles 
81,Trinity-Bellwoods 
19,Long Branch 
91,Weston-Pellam Park 
40,St.Andrew-Windfields 
32,Englemount-Lawrence 
12,Markland Wood 
33,Clanton Park 
92,Corso Italia-Davenport 
96,Casa Loma 
54,O'Connor-Parkview 
140,Guildwood 
85,South Parkdale 
135,Morningside 
101,Forest Hill South 
89,Runnymede-Bloor West Village 
34,Bathurst Manor 
123,Cliffcrest 
42,Banbury-Don Mills 
63,The Beaches 
82,Niagara 
43,Victoria Village 
58,Old East York 
51,Willowdale East 
83,Dufferin Grove 
38,Lansing-Westgate 
133,Centennial Scarborough 
5,Elms-Old Rexdale 
87,High Park-Swansea 
21,Humber Summit 
66,Danforth 
15,Kingsway South 
125,Ionview 
64,Woodbine Corridor 
102,Forest Hill North 
17,Mimico 
48,Hillcrest Village 
37,Willowdale West 
105,Lawrence Park North 
22,Humbermede 
67,Playter Estates-Danforth 
60,Woodbine-Lumsden 
114,Lambton Baby Point 
130,Milliken 
3,Thistletown-Beaumond Heights 
107,Oakwood Village 
29,Maple Leaf 
88,High Park North 
20,Alderwood 
71,Cabbagetown-South St.James Town 
94,Wychwood 
115,Mount Dennis 
59,Danforth East York 
8,Humber Heights-Westmount 
4,Rexdale-Kipling 
23,Pelmo Park-Humberlea 
106,Humewood-Cedarvale 
99,Mount Pleasant East 
49,Bayview Woods-Steeles 
