OBJECTID,AGENCY,DIV,UNIT_NAME,ADDRESS,CITY,AREA_SQKM,Shape_Leng,Shape__Area,Shape__Length
1,Toronto Police Service,D11,11 Division,2054 Davenport Rd,Toronto,18.6518647338,20407.6893328,18679508.748291,20407.6893328415
2,Toronto Police Service,D12,12 Division,200 Trethewey Dr,Toronto,24.734602112,23875.5088553,24771165.5964355,23875.5088553455
3,Toronto Police Service,D13,13 Division,1435 Eglinton Av W,Toronto,18.5668509908,17789.1901621,18594759.8586426,17789.1901621471
4,Toronto Police Service,D14,14 Division,350 Dovercourt Rd,Toronto,14.2166687579,21205.7426137,14238076.7106934,21205.7426137147
5,Toronto Police Service,D22,22 Division,3699 Bloor St W,Toronto,67.9269961746,52752.6806514,68025154.2641602,52752.6806514333
6,Toronto Police Service,D23,23 Division,5230 Finch Av W,Toronto,57.5330887364,39162.6810666,57616092.7783203,39162.6810665938
7,Toronto Police Service,D31,31 Division,40 Norfinch Dr,Toronto,42.5785426059,32091.1044323,42641462.5996094,32091.1044322722
8,Toronto Police Service,D32,32 Division,30 Ellerslie Av,Toronto,60.9348913159,31522.8585464,61027626.3269043,31522.8585463858
9,Toronto Police Service,D33,33 Division,50 Upjohn Rd,Toronto,52.6828769834,32571.7186799,52765282.9394531,32571.7186799415
10,Toronto Police Service,D41,41 Division,2222 Eglinton Av E,Toronto,44.4199552839,41375.7704771,44490914.6535645,41375.7704770523
11,Toronto Police Service,D42,42 Division,242 Milner Av E,Toronto,84.4416892063,43182.8539844,84579700.5317383,43182.8539844168
12,Toronto Police Service,D43,43 Division,4331 Lawrence Av E,Toronto,59.0831486129,36901.7708732,59180509.6269531,36901.7708732327
13,Toronto Police Service,D51,51 Division,51 Parliament St,Toronto,8.59416267405,18287.6095448,8607343.8581543,18287.6095447923
14,Toronto Police Service,D52,52 Division,255 Dundas St W,Toronto,9.1896164958,25900.7605122,9203581.0559082,25900.7605122298
15,Toronto Police Service,D53,53 Division,75 Eglinton Av W,Toronto,31.2299336055,27044.7974023,31277796.7524414,27044.7974022912
16,Toronto Police Service,D54,54 Division,41 Cranfield Rd,Toronto,20.2069239599,22014.7054367,20238533.8305664,22014.705436687
17,Toronto Police Service,D55,55 Division,101 Coxwell Av,Toronto,20.2983124835,50220.7420729,20329949.3735352,50220.7420729005
